TIME,SENSOR ID,DATE TIME,VALUES
,104,2020-07-01 10:36:53,-14.51
,109,2020-07-01 10:36:53,-12.54
,105,2020-07-01 10:36:53,-14.22
,106,2020-07-01 10:36:53,-13.22
,107,2020-07-01 10:36:53,-16.88
,108,2020-07-01 10:36:53,-15.02
,110,2020-07-01 10:36:53,-14.99
,111,2020-07-01 10:36:53,-15.55
,112,2020-07-01 10:36:53,-16.21
,113,2020-07-01 10:36:53,-12.00
,114,2020-07-01 10:36:53,-14.89
,115,2020-07-01 10:36:53,-16.98
,116,2020-07-01 10:36:53,-15.39
,117,2020-07-01 10:36:53,-14.32
,118,2020-07-01 10:36:53,-16.88
23,101,2020-07-01 10:38:24,-16.00
,102,2020-07-01 10:38:24,-15.98
,103,2020-07-01 10:38:24,-12.22
,104,2020-07-01 10:38:24,-15.30
,109,2020-07-01 10:38:24,-12.54
,105,2020-07-01 10:38:24,-14.22
,106,2020-07-01 10:38:24,-13.32
,107,2020-07-01 10:38:24,-16.88
,108,2020-07-01 10:38:24,-15.20
,110,2020-07-01 10:38:24,-15.04
,111,2020-07-01 10:38:24,-15.55
,112,2020-07-01 10:38:24,-16.21
,113,2020-07-01 10:38:24,-12.00
,114,2020-07-01 10:38:24,-14.81
,115,2020-07-01 10:38:24,-16.98
,116,2020-07-01 10:38:24,-15.39
,117,2020-07-01 10:38:24,-14.32
,118,2020-07-01 10:38:24,-16.88
24,101,2020-07-01 10:39:54,-16.11
,102,2020-07-01 10:39:54,-14.00
,103,2020-07-01 10:39:54,-12.22
,104,2020-07-01 10:39:54,-14.58
,109,2020-07-01 10:39:54,-12.65
,105,2020-07-01 10:39:54,-14.32
,106,2020-07-01 10:39:54,-13.32
,107,2020-07-01 10:39:54,-16.98
,108,2020-07-01 10:39:54,-15.06
,110,2020-07-01 10:39:54,-15.14
,111,2020-07-01 10:39:54,-15.55
,112,2020-07-01 10:39:54,-16.32
,113,2020-07-01 10:39:54,-12.00
,114,2020-07-01 10:39:54,-15.02
,115,2020-07-01 10:39:54,-16.98
,116,2020-07-01 10:39:54,-15.39
,117,2020-07-01 10:39:54,-14.44
,118,2020-07-01 10:39:54,-16.98
25,101,2020-07-01 10:41:24,-16.11
,102,2020-07-01 10:41:24,-14.00
,103,2020-07-01 10:41:24,-12.22
,104,2020-07-01 10:41:24,-14.28
,109,2020-07-01 10:41:24,-12.65
,105,2020-07-01 10:41:24,-14.32
,106,2020-07-01 10:41:24,-13.32
,107,2020-07-01 10:41:24,-16.98
,108,2020-07-01 10:41:24,-14.82
,110,2020-07-01 10:41:24,-15.13
,111,2020-07-01 10:41:24,-15.65
,112,2020-07-01 10:41:24,-16.32
